name*,version*,license*,copyrights*,end-of-support,dependencies,language,repository,email,url
resteasy-multipart-provider,3.7.0.Final,Apache 2.0,,,,java,,,
shrinkwrap-api,1.2.6,Apache 2.0,,,,java,,,
shrinkwrap-descriptors-api-base,2.0.0,Apache 2.0,,,,java,,,
shrinkwrap-descriptors-spi,2.0.0,Apache 2.0,,,,java,,,
shrinkwrap-impl-base,1.2.6,Apache 2.0,,,,java,,,
shrinkwrap-resolver-api,2.2.6,Apache 2.0,,,,java,,,
shrinkwrap-resolver-api-maven,2.2.6,Apache 2.0,,,,java,,,
shrinkwrap-resolver-api-maven-archive,2.2.6,Apache 2.0,,,,java,,,
shrinkwrap-resolver-bom,2.1.1,Apache 2.0,,,,java,,,
shrinkwrap-resolver-impl-maven,2.2.6,Apache 2.0,,,,java,,,
shrinkwrap-resolver-impl-maven-archive,2.2.6,Apache 2.0,,,,java,,,
shrinkwrap-resolver-spi,2.2.6,Apache 2.0,,,,java,,,
shrinkwrap-resolver-spi-maven,2.2.6,Apache 2.0,,,,java,,,
shrinkwrap-resolver-spi-maven-archive,2.2.6,Apache 2.0,,,,java,,,
shrinkwrap-spi,1.2.6,Apache 2.0,,,,java,,,
slf4j-api,1.7.22.jbossorg-1,MIT,,,,java,,,
SparseBitSet,1.2,Apache 2.0,,,,java,,,
swagger-annotations,1.5.18,Apache 2.0,,,,java,,,
threetenbp,1.3.5,BSD-3-Clause,,,,java,,,
validation-api,2.0.1.Final,Apache 2.0,,,,java,,,
wagon-file,2.6,Apache 2.0,,,,java,,,
wagon-http-lightweight,2.6,Apache 2.0,,,,java,,,
wagon-http-shared,2.6,Apache 2.0,,,,java,,,
wagon-provider-api,2.6,Apache 2.0,,,,java,,,
xmlbeans,3.1.0,Apache 2.0,,,,java,,,
